time_elapsed,bvp,baseline_cog
0.1,16.922424242424242,baseline
0.2,39.40532467532468,baseline
0.3,39.99530303030303,baseline
0.4,36.54242424242424,baseline
0.5,25.90142857142857,baseline
0.6,-6.994848484848484,baseline
0.7,-27.138484848484847,baseline
0.8,-21.13038961038961,baseline
0.9,-4.072727272727274,baseline
1.0,4.6436363636363645,baseline
1.1,33.52242424242424,baseline
1.2,48.618311688311685,baseline
1.3,-30.462575757575756,baseline
1.6,-79.91272727272727,baseline
1.7,-29.08424242424242,baseline
1.8,4.787402597402596,baseline
1.9,28.013030303030302,baseline
2.0,37.272597402597405,baseline
2.1,15.937727272727273,baseline
2.2,10.953896103896103,baseline
2.3,12.008181818181818,baseline
2.4,17.98166666666667,baseline
2.5,12.203766233766236,baseline
2.6,-3.6504545454545454,baseline
2.7,-5.151818181818182,baseline
2.8,-9.456883116883116,baseline
2.9,-0.935,baseline
3.0,7.334155844155845,baseline
3.1,16.69848484848485,baseline
3.2,21.483636363636364,baseline
3.3,8.22030303030303,baseline
3.4,-18.571212121212117,baseline
3.5,-10.16155844155844,baseline
3.6,3.170151515151515,baseline
3.7,-0.21666666666666617,baseline
3.8,-2.3989610389610387,baseline
3.9,-7.395151515151515,baseline
4.0,-10.384805194805198,baseline
4.1,0.31151515151515113,baseline
4.2,9.679220779220781,baseline
4.3,11.561818181818182,baseline
4.4,18.19712121212121,baseline
4.5,-0.17389610389610316,baseline
4.6,-7.945454545454546,baseline
4.7,6.5298484848484835,baseline
4.8,11.045324675324673,baseline
4.9,-3.434393939393941,baseline
5.0,-10.187662337662339,baseline
5.1,-24.751515151515154,baseline
5.2,-20.618441558441564,baseline
5.3,18.309242424242424,baseline
5.4,26.41651515151515,baseline
5.5,13.67987012987013,baseline
5.6,-0.0016666666666666043,baseline
5.7,-8.246818181818181,baseline
5.8,-20.591818181818184,baseline
5.9,-21.91560606060606,baseline
6.0,4.184675324675327,baseline
6.1,31.04075757575758,baseline
6.2,21.99051948051948,baseline
6.3,10.215151515151515,baseline
6.4,1.2090909090909114,baseline
6.5,-8.818571428571428,baseline
6.6,-6.825909090909092,baseline
6.7,0.46545454545454396,baseline
6.8,11.788311688311689,baseline
6.9,15.386969696969697,baseline
7.0,12.417012987012987,baseline
7.1,-9.80939393939394,baseline
7.2,-11.906493506493506,baseline
7.3,-5.602727272727275,baseline
7.4,5.1075757575757565,baseline
7.5,18.966883116883114,baseline
7.6,10.69348484848485,baseline
7.7,-5.70909090909091,baseline
7.8,-7.77844155844156,baseline
7.9,17.814242424242426,baseline
8.0,13.991428571428571,baseline
8.1,-1.6307575757575756,baseline
8.2,-7.017792207792207,baseline
8.3,-11.04560606060606,baseline
8.4,-17.35787878787879,baseline
8.5,-3.0099999999999985,baseline
8.6,6.080303030303029,baseline
8.7,6.076515151515152,baseline
8.8,17.017402597402597,baseline
8.9,17.723787878787878,baseline
9.0,-11.973766233766236,baseline
9.1,-20.487575757575758,baseline
9.2,-0.5984415584415581,baseline
9.3,2.5543939393939388,baseline
9.4,-0.34772727272727233,baseline
9.5,-2.8063636363636353,baseline
9.6,-13.92,baseline
9.7,-30.371969696969696,baseline
9.8,-17.775974025974026,baseline
9.9,17.50287878787879,baseline
10.0,15.153246753246755,baseline
10.1,18.310909090909092,baseline
10.2,19.738441558441558,baseline
10.3,8.126666666666665,baseline
10.4,-5.828636363636364,baseline
10.5,0.9737662337662335,baseline
10.6,2.304242424242424,baseline
10.7,-16.120454545454546,baseline
10.8,-10.998311688311688,baseline
10.9,0.26893939393939414,baseline
11.0,-19.110779220779218,baseline
11.1,-15.15181818181818,baseline
11.2,11.145844155844156,baseline
11.3,25.34939393939394,baseline
11.4,16.301666666666666,baseline
11.5,3.251688311688311,baseline
11.6,-4.675757575757576,baseline
11.7,-5.893030303030302,baseline
11.8,-10.287532467532468,baseline
11.9,-2.95060606060606,baseline
12.0,3.0155844155844154,baseline
12.1,5.462272727272728,baseline
12.2,-1.5144155844155849,baseline
12.3,-4.06409090909091,baseline
12.4,-1.0607575757575753,baseline
12.5,-13.302597402597401,baseline
12.6,-10.287121212121212,baseline
12.7,10.991969696969697,baseline
12.8,14.060129870129868,baseline
12.9,5.326060606060607,baseline
13.0,5.705714285714287,baseline
13.1,7.341515151515151,baseline
13.2,-8.86948051948052,baseline
13.3,-26.005757575757574,baseline
13.4,-17.23409090909091,baseline
13.5,-7.196883116883117,baseline
13.6,-2.5683333333333316,baseline
13.7,-1.62378787878788,baseline
13.8,3.7942857142857136,baseline
13.9,6.337424242424242,baseline
14.0,-3.1337662337662313,baseline
14.1,-3.2378787878787887,baseline
14.2,11.243116883116883,baseline
14.3,5.465757575757575,baseline
14.4,-8.407878787878788,baseline
14.5,-7.5035064935064915,baseline
14.6,2.223030303030303,baseline
14.7,-2.2304545454545464,baseline
14.8,-4.798571428571428,baseline
14.9,19.62151515151515,baseline
15.0,20.39766233766234,baseline
15.1,5.319545454545454,baseline
15.2,-4.813116883116883,baseline
15.3,-11.401363636363635,baseline
15.4,-13.314696969696968,baseline
15.5,-18.200909090909093,baseline
15.6,-2.8522727272727293,baseline
15.7,3.9356060606060597,baseline
15.8,11.265194805194804,baseline
15.9,7.402121212121213,baseline
16.0,-0.7090909090909101,baseline
16.1,-1.9274242424242425,baseline
16.2,-3.084025974025975,baseline
16.3,5.8883333333333345,baseline
16.4,9.948030303030304,baseline
16.5,3.31935064935065,baseline
16.6,-4.323787878787879,baseline
16.7,-1.5346969696969688,baseline
16.8,-8.827792207792207,baseline
16.9,-10.343333333333332,baseline
17.0,3.9101298701298712,baseline
17.1,21.474090909090908,baseline
17.2,15.74987012987013,baseline
17.3,0.7792424242424235,baseline
17.4,-6.764545454545455,baseline
17.5,-11.892337662337662,baseline
17.6,-28.471818181818183,baseline
17.7,-30.176666666666666,baseline
17.8,-6.7141558441558455,baseline
17.9,27.701818181818183,baseline
18.0,33.98532467532468,baseline
18.1,21.211212121212125,baseline
18.2,14.402727272727274,baseline
18.3,-6.478636363636365,baseline
18.4,-27.812575757575758,baseline
18.5,-22.356103896103892,baseline
